Periodo;CC;CG;Importe
201109;100011;920021;1350
201109;100011;920025;121.5
201109;100011;920026;112.5
201109;101012;920021;675
201109;101012;920025;60.75
201109;101012;920026;56.25
201109;101012;930015;93.22
201109;101012;930016;1.69
201109;101012;930122;226.22
201109;102011;900011;99146.1
201109;102011;920021;675
201109;102011;920025;60.75
201109;102011;920026;56.25
201109;103011;930082;8242.2
201109;105011;900012;13657.34
201109;105011;930081;82249.87
201109;105011;930124;608.07
201109;106011;930083;96730.71
201109;108011;900012;149458.11
201109;108011;920021;675
201109;108011;920025;60.75
201109;108011;920026;56.25
201109;108011;930085;2427.37
201109;200012;930067;470.34
201109;300011;920011;6726
201109;300011;920015;605.34
201109;300011;920016;560.5
201109;300011;930011;219.95
201109;300011;930016;20.34
201109;300011;930018;717.8
201109;300011;930091;1450
201109;300011;930092;714.94
201109;300011;930121;24.76
201109;300011;930122;48.66
201109;300011;930123;127.08
201109;300011;930125;11.94
201109;301011;930035;1800
201109;301011;930122;48.66
201109;301011;930128;14
201109;302011;930122;47.33
201109;400011;920011;5290
201109;400011;920015;476.1
201109;400011;920016;440.83
201109;400011;930021;710
201109;400011;930072;2800
201109;400011;930073;4007.29
201109;400011;930089;2820.9
201109;400011;930122;48.66
201109;3000101;920011;2000
201109;3000102;920021;850
201109;3020101;920011;720
201109;4000101;920011;1000
201109;1010101;920011;2500
201109;101012;920011;1950
201109;1020101;920021;1213
201109;1060101;920021;10371
