PERIODO,CPBTE,FECHA,TDOC,NUMDOC,RUC,ENTIDAD,IGV,TOTAL,ORDEN
201111,020001,01/06/2011,01,001-001428          ,20493020618,TIENDAS PERUANAS S.A                              ,583.20,3823.20,0001005
201111,020003,01/06/2011,01,001-001430          ,20493020618,TIENDAS PERUANAS S.A                              ,1166.40,7646.40,0001005
201111,020004,01/06/2011,01,001-001431          ,20493020618,TIENDAS PERUANAS S.A                              ,874.80,5734.80,0001005
201111,020005,01/06/2011,01,001-001432          ,20493020618,TIENDAS PERUANAS S.A                              ,777.60,5097.60,0001005
201111,020007,03/06/2011,01,001-001434          ,20100128056,SAGA FALABELLA S.A                                ,6118.20,40108.20,0001005
201111,020009,08/06/2011,01,001-001436          ,20504550681,TEXTIL ONLY STAR SAC                              ,3753.00,24603.00,0001005
201111,020010,10/06/2011,01,001-001437          ,20503125936,D' COMPRAS FASHION WEAR SA                        ,4745.59,31110.00,0001005
201111,020012,10/06/2011,01,001-001439          ,20503125936,D' COMPRAS FASHION WEAR SA                        ,17013.81,111535.00,0001005
201111,020013,14/06/2011,01,001-001440          ,20503125936,D' COMPRAS FASHION WEAR SA                        ,11042.08,72386.99,0001005
201111,020014,16/06/2011,01,001-001441          ,20504550681,TEXTIL ONLY STAR SAC                              ,1137.60,7457.60,0001005
201111,020015,16/06/2011,01,001-001442          ,20503125936,D' COMPRAS FASHION WEAR SA                        ,17.69,115.99,0001005
201111,020016,16/06/2011,01,001-001443          ,20503125936,D' COMPRAS FASHION WEAR SA                        ,22.58,148.00,0001005
201111,020017,16/06/2011,01,001-001444          ,20503125936,D' COMPRAS FASHION WEAR SA                        ,18.15,119.00,0001005
201111,020018,16/06/2011,01,001-001445          ,20503125936,D' COMPRAS FASHION WEAR SA                        ,6.87,45.01,0001005
201111,020019,16/06/2011,01,001-001446          ,20503125936,D' COMPRAS FASHION WEAR SA                        ,20.59,135.00,0001005
201111,020020,16/06/2011,01,001-001447          ,20503125936,D' COMPRAS FASHION WEAR SA                        ,52.02,341.00,0001005
201111,020021,16/06/2011,01,001-001448          ,20503125936,D' COMPRAS FASHION WEAR SA                        ,27.46,180.00,0001005
201111,020022,16/06/2011,01,001-001449          ,20503125936,D' COMPRAS FASHION WEAR SA                        ,44.69,292.99,0001005
201111,020023,16/06/2011,01,001-001450          ,20503125936,D' COMPRAS FASHION WEAR SA                        ,31.88,209.00,0001005
201111,020024,16/06/2011,01,001-001451          ,20503125936,D' COMPRAS FASHION WEAR SA                        ,34.32,225.00,0001005
201111,020025,16/06/2011,01,001-001452          ,20503125936,D' COMPRAS FASHION WEAR SA                        ,61.78,405.00,0001005
201111,020027,21/06/2011,01,001-001454          ,20503125936,D' COMPRAS FASHION WEAR SA                        ,10803.66,70824.00,0001005
201111,020029,21/06/2011,01,001-001456          ,20504550681,TEXTIL ONLY STAR SAC                              ,1123.20,7363.20,0001005
201111,020031,27/06/2011,01,001-001458          ,20503125936,D' COMPRAS FASHION WEAR SA                        ,1798.47,11789.99,0001005
201111,020032,27/06/2011,01,001-001459          ,20503125936,D' COMPRAS FASHION WEAR SA                        ,6321.36,41440.00,0001005
201111,020033,27/06/2011,01,001-001460          ,20100128056,SAGA FALABELLA S.A                                ,3110.40,20390.40,0001005
201111,020037,30/06/2011,01,001-001464          ,20503125936,D' COMPRAS FASHION WEAR SA                        ,8.85,58.00,0001005
201111,020038,30/06/2011,01,001-001465          ,20503125936,D' COMPRAS FASHION WEAR SA                        ,20.60,135.03,0001005
201111,020039,30/06/2011,01,001-001466          ,20503125936,D' COMPRAS FASHION WEAR SA                        ,41.19,270.05,0001005
201111,020040,30/06/2011,01,001-001467          ,20503125936,D' COMPRAS FASHION WEAR SA                        ,38.75,254.05,0001005
201111,020042,30/06/2011,01,001-001469          ,20503125936,D' COMPRAS FASHION WEAR SA                        ,25.02,164.03,0001005
201111,020043,30/06/2011,01,001-001470          ,20503125936,D' COMPRAS FASHION WEAR SA                        ,54.93,360.08,0001005
201111,020044,30/06/2011,01,001-001471          ,20503125936,D' COMPRAS FASHION WEAR SA                        ,13.73,90.02,0001005
201111,020046,30/06/2011,01,001-001473          ,20503125936,D' COMPRAS FASHION WEAR SA                        ,13.73,90.02,0001005
201111,020047,30/06/2011,01,001-001474          ,20503125936,D' COMPRAS FASHION WEAR SA                        ,65.76,431.07,0001005
201111,020048,30/06/2011,01,001-001475          ,20503125936,D' COMPRAS FASHION WEAR SA                        ,27.46,180.04,0001005
201111,020049,11/06/2011,03,001-000333          ,T1,TIENDA 1                                          ,11.44,75.00,0001005
201111,020050,11/06/2011,03,001-000334          ,T1,TIENDA 1                                          ,30.89,202.50,0001005
201111,020051,13/06/2011,03,001-000335          ,T1,TIENDA 1                                          ,5.34,35.00,0001005
201111,020052,07/06/2011,07,001-000179          ,20100128056,SAGA FALABELLA S.A                                ,-262.24,-1719.13,0001005
201111,020054,08/06/2011,07,001-000181          ,20508565934,HIPERMERCADOS TOTTUS S.A.                         ,-8.42,-55.22,0001005
201111,020055,08/06/2011,07,001-000182          ,20100128056,SAGA FALABELLA S.A                                ,-37.80,-247.80,0001005
201111,020056,21/06/2011,07,001-000183          ,20503125936,D' COMPRAS FASHION WEAR SA                        ,-1080.37,-7082.40,0001005
201111,020057,21/06/2011,07,001-000184          ,20501057682,TRADING FASHION LINE SA                           ,-72.25,-473.62,0001005
201111,020058,21/06/2011,07,001-000185          ,20501057682,TRADING FASHION LINE SA                           ,-288.99,-1894.49,0001005
201111,020059,21/06/2011,07,001-000186          ,20501057682,TRADING FASHION LINE SA                           ,-46.21,-302.91,0001005
201111,020061,21/06/2011,07,001-000188          ,20501057682,TRADING FASHION LINE SA                           ,-277.24,-1817.44,0001005
201111,020063,27/06/2011,07,001-000190          ,20503125936,D' COMPRAS FASHION WEAR SA                        ,-179.85,-1179.00,0001005
